# BEGIN interval_us=1000 steps=247500 dir=1 micro=32 accbits=13 preroll=2000
step,adc
000525,04073
000526,04072
000527,04070
000528,04074
000529,04072
000530,04070
000531,04073
000532,04073
000533,04069
000534,04071
000535,04073
000536,04072
000537,04071
000538,04072
000539,04073
000540,04072
000541,04073
000542,04073
000543,04071
000544,04072
000545,04075
000546,04071
000547,04072
000548,04072
000549,04068
000550,04072
000551,04071
000552,04072
000553,04072
000554,04072
000555,04071
000556,04073
000557,04072
000558,04071
000559,04072
000560,04071
000561,04071
000562,04071
000563,04071
000564,04073
000565,04072
000566,04074
000567,04072
000568,04074
000569,04070
000570,04072
000571,04073
000572,04074
000573,04071
000574,04073
000575,04072
000576,04071
000577,04073
000578,04072
000579,04070
000580,04073
000581,04068
000582,04073
000583,04073
000584,04071
000585,04074
000586,04072
000587,04074
000588,04072
000589,04074
000590,04072
000591,04074
000592,04074
000593,04072
000594,04070
000595,04074
000596,04072
000597,04071
000598,04072
000599,04072
000600,04072
000601,04072
000602,04075
000603,04070
000604,04074
000605,04072
000606,04075
000607,04071
000608,04072
000609,04074
000610,04071
000611,04074
000612,04071
000613,04073
000614,04072
000615,04072
000616,04071
000617,04077
000618,04072
000619,04072
000620,04073
000621,04071
000622,04072
000623,04073
000624,04073
000625,04072
000626,04073
000627,04072
000628,04073
000629,04075
000630,04072
000631,04071
000632,04072
000633,04071
000634,04072
000635,04073
000636,04071
000637,04073
000638,04072
000639,04071
000640,04071
000641,04070
000642,04073
000643,04074
000644,04073
000645,04072
000646,04072
000647,04072
000648,04073
000649,04073
000650,04072
000651,04072
000652,04072
000653,04073
000654,04072
000655,04072
000656,04071
000657,04074
000658,04073
000659,04073
000660,04072
000661,04071
000662,04071
000663,04072
000664,04072
000665,04072
000666,04072
000667,04073
000668,04072
000669,04074
000670,04073
000671,04071
000672,04074
000673,04071
000674,04072
000675,04073
000676,04071
000677,04075
000678,04071
000679,04071
000680,04073
000681,04072
000682,04072
000683,04070
000684,04073
000685,04073
000686,04071
000687,04072
000688,04072
000689,04072
000690,04070
000691,04072
000692,04071
000693,04071
000694,04072
000695,04072
000696,04072
000697,04071
000698,04073
000699,04069
000700,04072
000701,04072
000702,04073
000703,04073
000704,04072
000705,04071
000706,04073
000707,04073
000708,04074
000709,04067
000710,04073
000711,04071
000712,04072
000713,04073
000714,04069
000715,04071
000716,04074
000717,04073
000718,04072
000719,04073
000720,04071
000721,04072
000722,04072
000723,04071
000724,04072
000725,04073
000726,04074
000727,04073
000728,04073
000729,04072
000730,04071
000731,04071
000732,04071
000733,04072
000734,04071
000735,04072
000736,04071
000737,04071
000738,04072
000739,04073
000740,04071
000741,04073
000742,04076
000743,04072
000744,04074
000745,04072
000746,04074
000747,04072
000748,04071
000749,04073
000750,04072
000751,04074
000752,04072
000753,04073
000754,04071
000755,04071
000756,04072
000757,04070
000758,04070
000759,04073
000760,04072
000761,04070
000762,04073
000763,04072
000764,04072
000765,04071
000766,04074
000767,04075
000768,04074
000769,04072
000770,04072
000771,04071
000772,04074
000773,04073
000774,04070
000775,04073
000776,04073
000777,04072
000778,04072
000779,04069
000780,04073
000781,04071
000782,04072
000783,04072
000784,04073
000785,04071
000786,04074
000787,04071
000788,04072
000789,04071
000790,04070
000791,04073
000792,04070
000793,04073
000794,04073
000795,04072
000796,04076
000797,04072
000798,04073
000799,04072
000800,04071
000801,04071
000802,04073
000803,04072
000804,04073
000805,04071
000806,04072
000807,04066
000808,04074
000809,04071
000810,04072
000811,04074
000812,04072
000813,04074
000814,04071
000815,04076
000816,04071
000817,04071
000818,04068
000819,04071
000820,04071
000821,04073
000822,04075
000823,04071
000824,04072
000825,04072
000826,04075
000827,04071
000828,04075
000829,04071
000830,04070
000831,04073
000832,04073
000833,04072
000834,04074
000835,04071
000836,04072
000837,04069
000838,04071
000839,04073
000840,04073
000841,04071
000842,04070
000843,04072
000844,04072
000845,04067
000846,04072
000847,04070
000848,04073
000849,04072
000850,04074
000851,04074
000852,04071
000853,04074
000854,04073
000855,04073
000856,04071
000857,04072
000858,04073
000859,04072
000860,04071
000861,04075
000862,04071
000863,04073
000864,04072
000865,04072
000866,04071
000867,04071
000868,04070
000869,04070
000870,04072
000871,04072
000872,04074
000873,04071
000874,04071
000875,04072
000876,04072
000877,04074
000878,04073
000879,04074
000880,04072
000881,04071
000882,04071
000883,04072
000884,04072
000885,04072
000886,04072
000887,04073
000888,04073
000889,04072
000890,04071
000891,04073
000892,04072
000893,04071
000894,04072
000895,04073
000896,04075
000897,04073
000898,04070
000899,04071
000900,04070
000901,04071
000902,04072
000903,04073
000904,04075
000905,04071
000906,04075
000907,04072
000908,04073
000909,04074
000910,04071
000911,04071
000912,04073
000913,04073
000914,04072
000915,04070
000916,04071
000917,04071
000918,04071
000919,04069
000920,04071
000921,04073
000922,04073
000923,04071
000924,04072
000925,04071
000926,04071
000927,04070
000928,04079
000929,04071
000930,04072
000931,04071
000932,04071
000933,04070
000934,04070
000935,04070
000936,04073
000937,04072
000938,04070
000939,04073
000940,04072
000941,04072
000942,04072
000943,04071
000944,04073
000945,04071
000946,04073
000947,04071
000948,04070
000949,04066
000950,04072
000951,04071
000952,04074
000953,04073
000954,04071
000955,04072
000956,04073
000957,04070
000958,04071
000959,04073
000960,04073
000961,04073
000962,04072
000963,04072
000964,04074
000965,04071
000966,04073
000967,04071
000968,04072
000969,04073
000970,04070
000971,04073
000972,04071
000973,04072
000974,04071
000975,04071
000976,04070
000977,04072
000978,04070
000979,04074
000980,04073
000981,04075
000982,04071
000983,04071
000984,04070
000985,04071
000986,04073
000987,04074
000988,04071
000989,04071
000990,04072
000991,04072
000992,04073
000993,04073
000994,04070
000995,04072
000996,04071
000997,04073
000998,04072
000999,04073
001000,04071
001001,04071
001002,04072
001003,04072
001004,04073
001005,04073
001006,04071
001007,04069
001008,04072
