# BEGIN interval_us=1000 steps=247500 dir=0 micro=32 accbits=13 preroll=2000
step,adc
000000,04082
000001,04083
000002,04084
000003,04081
000004,04082
000005,04081
000006,04083
000007,04082
000008,04083
000009,04080
000010,04084
000011,04083
000012,04080
000013,04086
000014,04082
000015,04080
000016,04082
000017,04081
000018,04082
000019,04080
000020,04083
000021,04081
000022,04081
000023,04080
000024,04082
000025,04082
000026,04082
000027,04081
000028,04082
000029,04075
000030,04082
000031,04080
000032,04082
000033,04081
000034,04082
000035,04081
000036,04081
000037,04083
000038,04078
000039,04080
000040,04083
000041,04082
000042,04084
000043,04083
000044,04082
000045,04082
000046,04077
000047,04082
000048,04083
000049,04080
000050,04083
000051,04083
000052,04084
000053,04082
000054,04081
000055,04084
000056,04082
000057,04084
000058,04086
000059,04081
000060,04081
000061,04082
000062,04077
000063,04082
000064,04082
000065,04086
000066,04083
000067,04085
000068,04082
000069,04082
000070,04084
000071,04082
000072,04083
000073,04083
000074,04084
000075,04083
000076,04082
000077,04083
000078,04082
000079,04083
000080,04083
000081,04082
000082,04083
000083,04083
000084,04083
000085,04082
000086,04080
000087,04082
000088,04082
000089,04083
000090,04083
000091,04081
000092,04083
000093,04083
000094,04083
000095,04085
000096,04083
000097,04086
000098,04083
000099,04084
000100,04083
000101,04081
000102,04084
000103,04084
000104,04083
000105,04084
000106,04083
000107,04086
000108,04083
000109,04084
000110,04082
000111,04083
000112,04082
000113,04085
000114,04086
000115,04081
000116,04082
000117,04086
000118,04080
000119,04084
000120,04082
000121,04082
000122,04084
000123,04085
000124,04083
000125,04081
000126,04081
000127,04083
000128,04086
000129,04086
000130,04080
000131,04081
000132,04083
000133,04085
000134,04083
000135,04084
000136,04081
000137,04082
000138,04083
000139,04085
000140,04082
000141,04084
000142,04084
000143,04082
000144,04086
000145,04081
000146,04083
000147,04084
000148,04084
000149,04082
000150,04081
000151,04084
000152,04087
000153,04084
000154,04085
000155,04084
000156,04082
000157,04084
000158,04086
000159,04083
000160,04089
000161,04084
000162,04084
000163,04083
000164,04084
000165,04083
000166,04085
000167,04082
000168,04082
000169,04085
000170,04083
000171,04083
000172,04084
000173,04083
000174,04084
000175,04081
000176,04083
000177,04083
000178,04084
000179,04081
000180,04083
000181,04085
000182,04084
000183,04087
000184,04083
000185,04084
000186,04086
000187,04089
000188,04086
000189,04083
000190,04086
000191,04085
000192,04082
000193,04085
000194,04084
000195,04084
000196,04087
000197,04085
000198,04079
000199,04086
000200,04085
000201,04084
000202,04085
000203,04085
000204,04078
000205,04080
000206,04083
000207,04084
000208,04084
000209,04085
000210,04085
000211,04084
000212,04085
000213,04087
000214,04084
000215,04087
000216,04084
000217,04085
000218,04085
000219,04085
000220,04085
000221,04084
000222,04085
000223,04076
000224,04083
000225,04083
000226,04086
000227,04083
000228,04085
000229,04085
000230,04086
000231,04086
000232,04083
000233,04084
000234,04084
000235,04082
000236,04085
000237,04086
000238,04084
000239,04085
000240,04084
000241,04084
000242,04086
000243,04084
000244,04083
000245,04087
000246,04084
000247,04084
000248,04084
000249,04086
000250,04086
000251,04082
000252,04086
000253,04088
000254,04086
000255,04089
000256,04086
000257,04087
000258,04085
000259,04083
000260,04085
000261,04088
000262,04088
000263,04086
000264,04085
000265,04084
000266,04079
000267,04087
000268,04085
000269,04086
000270,04085
000271,04088
000272,04084
000273,04085
000274,04086
000275,04085
000276,04086
000277,04084
000278,04087
000279,04086
000280,04083
000281,04085
000282,04081
000283,04088
000284,04083
000285,04089
000286,04086
000287,04085
000288,04085
000289,04085
000290,04087
000291,04086
000292,04086
000293,04085
000294,04084
000295,04086
000296,04084
000297,04088
000298,04087
000299,04085
000300,04087
000301,04085
000302,04087
000303,04086
000304,04087
000305,04084
000306,04086
000307,04086
000308,04082
000309,04085
000310,04085
000311,04089
000312,04087
000313,04084
000314,04087
000315,04085
000316,04086
000317,04085
000318,04088
000319,04086
000320,04079
000321,04086
000322,04086
000323,04086
000324,04085
000325,04087
000326,04087
000327,04086
000328,04086
000329,04086
000330,04087
000331,04085
000332,04086
000333,04087
000334,04088
000335,04084
000336,04088
000337,04087
000338,04087
000339,04085
000340,04089
000341,04086
000342,04087
000343,04087
000344,04087
000345,04087
000346,04086
000347,04088
000348,04087
000349,04087
000350,04087
000351,04089
000352,04086
000353,04086
000354,04088
000355,04087
000356,04087
000357,04090
000358,04092
000359,04086
000360,04089
000361,04087
000362,04081
000363,04086
000364,04083
000365,04086
000366,04088
000367,04089
000368,04087
000369,04089
000370,04085
000371,04087
000372,04087
000373,04086
000374,04086
000375,04087
000376,04088
000377,04087
000378,04088
000379,04088
000380,04087
000381,04086
000382,04088
000383,04088
000384,04086
000385,04089
000386,04086
000387,04088
000388,04087
000389,04092
000390,04087
000391,04085
000392,04085
000393,04089
000394,04088
000395,04086
000396,04088
000397,04085
000398,04087
000399,04088
000400,04088
000401,04090
000402,04088
000403,04085
000404,04086
000405,04087
000406,04089
000407,04089
000408,04088
000409,04090
000410,04089
000411,04086
000412,04084
000413,04086
000414,04088
000415,04089
000416,04087
000417,04089
000418,04088
000419,04087
000420,04086
000421,04088
000422,04088
000423,04086
000424,04086
000425,04088
000426,04088
000427,04089
000428,04088
000429,04089
000430,04088
000431,04086
000432,04089
000433,04088
000434,04088
000435,04089
000436,04088
000437,04091
000438,04088
000439,04088
000440,04087
000441,04089
000442,04088
000443,04088
000444,04089
000445,04088
000446,04089
000447,04084
000448,04090
000449,04087
000450,04088
000451,04086
000452,04088
000453,04089
000454,04089
000455,04088
000456,04088
000457,04089
000458,04087
000459,04089
000460,04088
000461,04088
000462,04087
000463,04088
000464,04089
000465,04086
000466,04087
000467,04088
000468,04090
000469,04088
000470,04088
000471,04088
000472,04090
000473,04089
000474,04091
000475,04087
000476,04088
000477,04088
000478,04088
000479,04092
000480,04090
000481,04089
000482,04089
000483,04090
000484,04087
000485,04090
000486,04092
000487,04090
000488,04089
000489,04087
000490,04090
000491,04090
000492,04090
000493,04092
000494,04090
000495,04088
000496,04088
000497,04090
000498,04090
000499,04089
000500,04092
000501,04089
000502,04089
000503,04090
000504,04091
000505,04091
000506,04090
000507,04091
000508,04090
000509,04089
000510,04090
000511,04090
000512,04090
000513,04093
000514,04091
000515,04091
000516,04089
000517,04090
000518,04090
000519,04091
000520,04090
000521,04091
000522,04091
000523,04091
000524,04090
000525,04091
000526,04090
000527,04092
000528,04090
000529,04090
000530,04091
000531,04091
000532,04090
000533,04093
000534,04092
000535,04092
000536,04091
000537,04092
000538,04092
000539,04090
000540,04091
000541,04092
000542,04092
000543,04091
000544,04093
000545,04092
000546,04092
000547,04091
000548,04092
000549,04090
000550,04091
000551,04090
000552,04092
000553,04090
000554,04091
000555,04092
000556,04092
000557,04092
000558,04090
000559,04090
000560,04095
000561,04090
000562,04092
000563,04093
000564,04089
000565,04091
000566,04090
000567,04089
000568,04093
000569,04092
000570,04092
000571,04093
000572,04092
000573,04092
000574,04091
000575,04091
000576,04092
000577,04091
000578,04091
000579,04093
000580,04091
