# BEGIN interval_us=400 steps=247500 dir=0 micro=32 accbits=13 preroll=2000
step,adc
000000,04081
000001,04079
000002,04081
000003,04082
000004,04078
000005,04079
000006,04082
000007,04080
000008,04080
000009,04082
000010,04081
000011,04083
000012,04081
000013,04081
000014,04082
000015,04080
000016,04079
000017,04082
000018,04082
000019,04081
000020,04080
000021,04082
000022,04080
000023,04083
000024,04080
000025,04080
000026,04079
000027,04083
000028,04081
000029,04081
000030,04079
000031,04081
000032,04083
000033,04081
000034,04080
000035,04081
000036,04081
000037,04082
000038,04081
000039,04082
000040,04082
000041,04082
000042,04083
000043,04080
000044,04083
000045,04082
000046,04083
000047,04084
000048,04081
000049,04080
000050,04083
000051,04080
000052,04081
000053,04080
000054,04082
000055,04082
000056,04083
000057,04082
000058,04082
000059,04084
000060,04085
000061,04082
000062,04083
000063,04081
000064,04083
000065,04083
000066,04082
000067,04083
000068,04080
000069,04080
000070,04082
000071,04084
000072,04082
000073,04081
000074,04080
000075,04074
000076,04079
000077,04083
000078,04083
000079,04083
000080,04081
000081,04080
000082,04083
000083,04083
000084,04081
000085,04083
000086,04082
000087,04084
000088,04081
000089,04081
000090,04081
000091,04085
000092,04082
000093,04083
000094,04082
000095,04083
000096,04081
000097,04083
000098,04083
000099,04083
000100,04083
000101,04084
000102,04081
000103,04085
000104,04082
000105,04081
000106,04082
000107,04084
000108,04085
000109,04082
000110,04083
000111,04083
000112,04082
000113,04083
000114,04083
000115,04084
000116,04083
000117,04083
000118,04081
000119,04081
000120,04083
000121,04082
000122,04082
000123,04082
000124,04082
000125,04083
000126,04083
000127,04087
000128,04084
000129,04082
000130,04082
000131,04081
000132,04079
000133,04082
000134,04083
000135,04082
000136,04083
000137,04079
000138,04083
000139,04082
000140,04082
000141,04084
000142,04082
000143,04085
000144,04087
000145,04081
000146,04079
000147,04082
000148,04082
000149,04082
000150,04083
000151,04084
000152,04082
000153,04082
000154,04084
000155,04085
000156,04081
000157,04082
000158,04083
000159,04084
000160,04087
000161,04086
000162,04085
000163,04082
000164,04080
000165,04082
000166,04083
000167,04086
000168,04082
000169,04081
000170,04081
000171,04084
000172,04087
000173,04083
000174,04083
000175,04083
000176,04082
000177,04082
000178,04085
000179,04083
000180,04082
000181,04084
000182,04083
000183,04085
000184,04084
000185,04083
000186,04081
000187,04084
000188,04081
000189,04083
000190,04083
000191,04082
000192,04084
000193,04084
000194,04083
000195,04083
000196,04084
000197,04082
000198,04085
000199,04084
000200,04082
000201,04084
000202,04084
000203,04084
000204,04084
000205,04081
000206,04084
000207,04084
000208,04084
000209,04085
000210,04085
000211,04084
000212,04083
000213,04084
000214,04084
000215,04085
000216,04082
000217,04084
000218,04084
000219,04085
000220,04087
000221,04085
000222,04083
000223,04083
000224,04085
000225,04085
000226,04085
000227,04083
000228,04083
000229,04085
000230,04087
000231,04083
000232,04083
000233,04084
000234,04083
000235,04085
000236,04087
000237,04086
000238,04087
000239,04086
000240,04084
000241,04084
000242,04084
000243,04084
000244,04086
000245,04084
000246,04085
000247,04085
000248,04086
000249,04085
000250,04086
000251,04084
000252,04084
000253,04085
000254,04085
000255,04085
000256,04085
000257,04086
000258,04086
000259,04085
000260,04086
000261,04086
000262,04084
000263,04084
000264,04084
000265,04084
000266,04085
000267,04085
000268,04084
000269,04086
000270,04085
000271,04086
000272,04087
000273,04086
000274,04084
000275,04084
000276,04085
000277,04084
000278,04083
000279,04086
000280,04085
000281,04084
000282,04086
000283,04086
000284,04085
000285,04083
000286,04084
000287,04085
000288,04084
000289,04085
000290,04086
000291,04084
000292,04084
000293,04085
000294,04084
000295,04079
000296,04085
000297,04087
000298,04086
000299,04082
000300,04081
000301,04084
000302,04085
000303,04087
000304,04085
000305,04085
000306,04085
000307,04086
000308,04084
000309,04085
000310,04085
000311,04085
000312,04084
000313,04082
000314,04085
000315,04085
000316,04087
000317,04086
000318,04086
000319,04083
000320,04083
000321,04085
000322,04085
000323,04084
000324,04087
000325,04087
000326,04084
000327,04086
000328,04086
000329,04087
000330,04086
000331,04087
000332,04087
000333,04084
000334,04083
000335,04083
000336,04087
000337,04085
000338,04085
000339,04087
000340,04085
000341,04087
000342,04085
000343,04087
000344,04087
000345,04089
000346,04083
000347,04087
000348,04086
000349,04087
000350,04087
000351,04087
000352,04087
000353,04086
000354,04086
000355,04087
000356,04084
000357,04086
000358,04086
000359,04086
000360,04086
000361,04085
000362,04086
000363,04086
000364,04085
000365,04088
000366,04088
000367,04085
000368,04085
000369,04089
000370,04087
000371,04087
000372,04086
000373,04087
000374,04086
000375,04085
000376,04087
000377,04086
000378,04087
000379,04088
000380,04087
000381,04087
000382,04087
000383,04087
000384,04086
000385,04086
000386,04088
000387,04085
000388,04088
000389,04083
000390,04087
000391,04086
000392,04085
000393,04087
000394,04087
000395,04086
000396,04086
000397,04087
000398,04085
000399,04088
000400,04086
000401,04091
000402,04087
000403,04086
000404,04088
000405,04086
000406,04086
000407,04086
000408,04086
000409,04088
000410,04085
000411,04090
000412,04086
000413,04087
000414,04085
000415,04090
000416,04087
000417,04086
000418,04087
000419,04088
000420,04083
000421,04088
000422,04088
000423,04086
000424,04086
000425,04087
000426,04086
000427,04086
000428,04089
000429,04087
000430,04087
000431,04087
000432,04087
000433,04088
000434,04088
000435,04087
000436,04087
000437,04087
000438,04087
000439,04087
000440,04087
000441,04088
000442,04088
000443,04088
000444,04087
000445,04088
000446,04087
000447,04087
000448,04088
000449,04088
000450,04086
000451,04089
000452,04087
000453,04092
000454,04089
000455,04088
000456,04089
000457,04090
000458,04089
000459,04087
000460,04086
000461,04089
000462,04087
000463,04088
000464,04088
000465,04089
000466,04089
000467,04088
000468,04089
000469,04087
000470,04090
000471,04088
000472,04087
000473,04085
000474,04087
000475,04088
000476,04085
000477,04089
000478,04089
000479,04089
000480,04087
000481,04087
000482,04090
000483,04091
000484,04085
000485,04089
000486,04089
000487,04088
000488,04090
000489,04086
000490,04088
000491,04088
000492,04089
000493,04089
000494,04090
000495,04088
000496,04089
000497,04087
000498,04088
000499,04089
000500,04085
000501,04088
000502,04087
000503,04088
000504,04088
000505,04090
000506,04087
000507,04089
000508,04090
000509,04086
000510,04087
000511,04090
000512,04089
000513,04089
000514,04090
000515,04088
000516,04089
000517,04088
000518,04088
000519,04091
000520,04089
000521,04091
000522,04088
000523,04090
000524,04089
000525,04090
000526,04089
000527,04090
000528,04088
000529,04090
000530,04088
000531,04090
000532,04089
000533,04088
000534,04090
000535,04092
000536,04091
000537,04090
000538,04090
000539,04089
000540,04089
000541,04089
000542,04091
000543,04088
000544,04089
000545,04089
000546,04090
000547,04089
000548,04090
000549,04087
000550,04092
000551,04090
000552,04090
000553,04091
000554,04090
000555,04084
000556,04089
000557,04090
000558,04090
000559,04093
000560,04091
000561,04091
000562,04091
000563,04084
000564,04091
000565,04090
000566,04089
000567,04089
000568,04089
000569,04094
000570,04091
000571,04091
000572,04089
000573,04090
000574,04089
000575,04091
000576,04089
000577,04090
000578,04090
000579,04089
000580,04090
000581,04091
000582,04092
000583,04091
000584,04092
000585,04090
000586,04092
000587,04091
000588,04090
000589,04089
000590,04093
000591,04089
000592,04092
000593,04090
000594,04091
000595,04092
000596,04091
000597,04091
000598,04092
000599,04089
000600,04092
000601,04089
000602,04090
000603,04092
000604,04093
000605,04090
000606,04084
000607,04091
000608,04089
000609,04094
000610,04092
000611,04092
000612,04090
000613,04093
000614,04091
000615,04091
000616,04093
000617,04092
000618,04089
000619,04092
000620,04091
000621,04091
000622,04088
000623,04092
000624,04090
000625,04092
000626,04092
000627,04091
000628,04093
000629,04091
000630,04091
000631,04091
000632,04093
000633,04091
000634,04091
000635,04086
000636,04091
000637,04090
000638,04093
000639,04090
000640,04092
000641,04091
000642,04091
000643,04091
000644,04092
000645,04095
000646,04092
000647,04091
000648,04093
000649,04091
000650,04091
000651,04093
000652,04095
000653,04092
000654,04091
000655,04092
000656,04091
000657,04092
000658,04093
000659,04093
000660,04092
000661,04092
000662,04092
000663,04092
000664,04092
000665,04095
000666,04095
000667,04091
000668,04091
000669,04094
000670,04094
000671,04093
000672,04091
000673,04093
000674,04091
000675,04094
000676,04093
000677,04092
000678,04092
000679,04093
000680,04095
000681,04093
000682,04094
000683,04092
000684,04093
000685,04090
000686,04092
000687,04094
000688,04096
000689,04093
000690,04095
000691,04094
000692,04093
000693,04094
000694,04093
000695,04092
000696,04092
000697,04095
000698,04093
000699,04092
000700,04094
000701,04093
000702,04095
000703,04094
000704,04094
000705,04094
000706,04093
000707,04093
000708,04093
000709,04096
000710,04093
000711,04095
000712,04096
000713,04095
000714,04096
000715,04094
000716,04096
000717,04093
000718,04095
000719,04094
000720,04094
000721,04093
000722,04095
000723,04094
000724,04093
000725,04096
000726,04094
000727,04093
000728,04094
000729,04095
000730,04095
000731,04095
000732,04094
000733,04094
000734,04093
000735,04094
000736,04093
000737,04095
000738,04093
000739,04094
000740,04096
000741,04095
000742,04097
000743,04095
000744,04096
000745,04095
000746,04094
000747,04095
000748,04094
000749,04094
000750,04095
000751,04094
000752,04096
000753,04095
000754,04094
000755,04094
000756,04094
000757,04095
000758,04094
000759,04095
000760,04093
000761,04087
000762,04094
000763,04096
000764,04095
000765,04096
000766,04095
000767,04094
000768,04095
000769,04091
000770,04094
000771,04095
000772,04093
000773,04095
000774,04095
000775,04097
000776,04095
000777,04095
000778,04098
000779,04095
000780,04096
000781,04096
000782,04097
000783,04095
000784,04096
000785,04096
000786,04097
000787,04094
000788,04096
000789,04095
000790,04095
000791,04094
000792,04093
000793,04095
000794,04094
000795,04096
000796,04097
000797,04096
000798,04095
000799,04094
000800,04094
000801,04097
000802,04097
000803,04098
000804,04097
000805,04095
000806,04097
000807,04097
000808,04095
000809,04097
000810,04097
000811,04095
000812,04097
000813,04096
000814,04099
000815,04097
000816,04093
000817,04098
000818,04097
000819,04095
000820,04099
000821,04098
000822,04096
000823,04098
000824,04099
000825,04093
000826,04098
000827,04096
000828,04097
000829,04098
000830,04098
000831,04098
000832,04094
000833,04099
000834,04097
000835,04096
000836,04097
000837,04097
000838,04098
000839,04100
000840,04096
000841,04098
000842,04099
000843,04095
000844,04096
000845,04098
000846,04099
000847,04098
000848,04099
000849,04098
000850,04098
000851,04098
000852,04099
000853,04096
000854,04098
000855,04098
000856,04097
000857,04099
000858,04098
000859,04098
000860,04096
000861,04097
000862,04098
000863,04098
000864,04092
000865,04098
000866,04098
000867,04100
000868,04100
000869,04100
000870,04099
000871,04098
000872,04098
000873,04099
000874,04099
000875,04099
000876,04097
000877,04099
000878,04099
000879,04098
000880,04101
000881,04103
000882,04100
000883,04098
000884,04100
000885,04098
000886,04099
000887,04099
000888,04100
000889,04099
000890,04101
000891,04100
000892,04100
000893,04100
000894,04100
000895,04098
000896,04100
000897,04099
000898,04098
000899,04097
000900,04099
000901,04102
000902,04098
000903,04098
000904,04097
000905,04101
000906,04100
000907,04098
000908,04100
000909,04100
000910,04099
000911,04097
000912,04100
000913,04099
000914,04098
000915,04101
000916,04100
000917,04101
000918,04102
000919,04099
000920,04101
000921,04100
000922,04101
000923,04101
000924,04102
000925,04102
000926,04100
000927,04100
000928,04099
000929,04100
000930,04102
000931,04099
000932,04100
000933,04100
000934,04102
000935,04101
000936,04101
000937,04102
000938,04100
000939,04101
000940,04101
000941,04103
000942,04101
000943,04099
000944,04102
000945,04101
000946,04101
000947,04102
000948,04102
000949,04101
000950,04099
000951,04102
000952,04102
000953,04102
000954,04100
000955,04101
000956,04101
000957,04101
000958,04099
000959,04100
000960,04102
000961,04102
000962,04099
000963,04101
000964,04098
000965,04101
000966,04101
000967,04103
000968,04100
000969,04100
000970,04102
000971,04101
000972,04102
000973,04104
000974,04103
000975,04101
000976,04101
000977,04104
000978,04103
000979,04101
000980,04101
000981,04104
000982,04102
000983,04101
000984,04104
000985,04104
000986,04104
000987,04101
000988,04105
000989,04103
000990,04100
000991,04103
000992,04101
000993,04102
000994,04104
000995,04103
000996,04103
000997,04104
000998,04102
000999,04102
001000,04104
001001,04102
001002,04103
001003,04103
001004,04104
001005,04104
001006,04103
001007,04106
001008,04098
001009,04105
001010,04105
001011,04103
001012,04107
001013,04105
001014,04105
001015,04103
001016,04103
001017,04104
001018,04105
001019,04103
001020,04104
001021,04103
001022,04102
001023,04104
001024,04103
001025,04105
001026,04105
001027,04105
001028,04105
001029,04105
001030,04108
001031,04105
001032,04108
001033,04103
001034,04105
001035,04104
001036,04103
001037,04107
001038,04105
001039,04105
001040,04104
001041,04104
001042,04106
001043,04111
001044,04106
001045,04103
001046,04106
001047,04105
001048,04104
001049,04104
001050,04105
001051,04105
001052,04107
001053,04105
001054,04104
001055,04107
001056,04105
001057,04106
001058,04107
001059,04106
001060,04106
001061,04106
001062,04106
001063,04106
001064,04105
001065,04107
001066,04105
001067,04106
001068,04108
001069,04106
001070,04109
001071,04107
001072,04107
001073,04107
001074,04106
001075,04105
001076,04106
001077,04108
001078,04109
001079,04106
001080,04107
001081,04106
001082,04107
001083,04107
001084,04107
001085,04106
001086,04108
001087,04107
001088,04105
001089,04109
001090,04107
001091,04109
001092,04105
001093,04107
001094,04107
001095,04107
001096,04107
001097,04106
001098,04106
001099,04105
001100,04106
001101,04108
001102,04107
001103,04107
001104,04106
001105,04112
001106,04107
001107,04106
001108,04107
001109,04107
001110,04107
001111,04105
001112,04108
001113,04107
001114,04109
001115,04106
001116,04108
001117,04106
001118,04109
001119,04111
001120,04107
001121,04110
001122,04111
001123,04107
001124,04108
001125,04111
001126,04108
001127,04115
001128,04108
001129,04106
001130,04108
001131,04109
001132,04108
001133,04108
001134,04108
001135,04106
001136,04108
001137,04110
001138,04107
001139,04111
001140,04110
001141,04111
001142,04110
001143,04109
001144,04109
001145,04107
001146,04108
001147,04110
001148,04106
001149,04110
001150,04110
001151,04110
001152,04112
001153,04108
001154,04109
001155,04107
001156,04113
001157,04109
001158,04111
001159,04111
001160,04110
001161,04110
001162,04111
001163,04109
001164,04111
001165,04111
001166,04111
001167,04111
001168,04110
001169,04115
001170,04108
001171,04109
001172,04106
001173,04110
001174,04110
001175,04109
001176,04110
001177,04110
001178,04108
001179,04111
001180,04110
001181,04111
001182,04114
001183,04112
001184,04112
001185,04109
001186,04111
001187,04110
001188,04112
001189,04107
001190,04111
001191,04114
001192,04111
001193,04109
001194,04110
001195,04113
001196,04111
001197,04111
001198,04111
001199,04105
001200,04111
001201,04113
001202,04111
001203,04112
001204,04113
001205,04110
001206,04112
001207,04112
001208,04112
001209,04114
001210,04112
001211,04112
001212,04114
001213,04112
001214,04114
001215,04113
001216,04113
001217,04114
001218,04114
001219,04114
001220,04112
001221,04113
001222,04113
001223,04112
001224,04112
001225,04113
001226,04113
001227,04116
001228,04111
001229,04111
001230,04112
001231,04111
001232,04113
001233,04113
001234,04117
001235,04113
001236,04113
001237,04112
001238,04115
001239,04111
001240,04115
001241,04112
001242,04112
001243,04114
001244,04112
001245,04115
001246,04112
001247,04112
001248,04114
001249,04113
001250,04112
001251,04114
001252,04113
001253,04115
001254,04112
001255,04114
001256,04114
001257,04113
001258,04114
001259,04113
001260,04114
001261,04111
001262,04116
001263,04113
001264,04114
001265,04115
001266,04113
001267,04116
001268,04112
001269,04113
001270,04115
001271,04116
001272,04115
001273,04114
001274,04114
001275,04115
001276,04116
001277,04116
001278,04116
001279,04114
001280,04114
001281,04116
001282,04115
001283,04111
001284,04116
001285,04114
001286,04117
001287,04114
001288,04115
001289,04115
